dept_code,name,field,nuts3,region,vac_2025,base_2025,ebe_coefficient,tourism_per_capita,gdp_per_capita,is_metro,base_2019
1286,ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΠΑΤΡΑ),4ο,EL632,Achaia,0.0,14422.0,1.2,3.13,15400,False,14525.0
1301,ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΚΟΜΟΤΗΝΗ),1ο,EL513,Rodopi,0.0,14640.0,1.1,2.051,12100,False,14506.0
1615,ΒΙΟΪΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),3ο,EL522,Thessaloniki,0.3958333333333333,14240.0,1.2,3.616,16900,True,14505.0
1558,ΕΡΓΟΘΕΡΑΠΕΙΑΣ (ΠΤΟΛΕΜΑΪΔΑ),3ο,EL531,"Grevena, Kozani",0.0,13000.0,1.0,0.98,15900,False,14505.0
155,ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΚΑΙ ΤΡΑΠΕΖΙΚΗΣ ΔΙΟΙΚΗΤΙΚΗΣ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,14850.0,1.2,3.126,22300,True,14494.0
262,ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,15940.0,1.2,3.126,22300,True,14492.0
203,ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),2ο,EL522,Thessaloniki,0.0,15850.0,1.2,3.616,16900,True,14467.0
314,ΜΑΡΚΕΤΙΝΓΚ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,16350.0,1.2,7.859,38500,True,14458.0
111,ΦΙΛΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.11475409836065574,11127.0,1.0,3.616,16900,True,14431.0
409,ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),1ο,EL522,Thessaloniki,0.3493975903614458,15600.0,1.2,3.616,16900,True,14430.0
1273,ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΠΑΤΡΑ),3ο,EL632,Achaia,0.2676056338028169,14381.0,1.2,3.13,15400,False,14410.0
164,ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΒΟΛΟΣ),4ο,EL613,"Magnisia, Sporades",0.0,15125.0,0.8,16.025,15300,False,14361.0
255,ΦΥΣΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),2ο,EL522,Thessaloniki,0.6875,14518.0,1.2,3.616,16900,True,14339.0
684,ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.0,13620.0,1.1,0.066,13900,True,14325.0
241,ΜΕΤΑΛΛΕΙΟΛΟΓΩΝ - ΜΕΤΑΛΛΟΥΡΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΑΘΗΝΑ),2ο,EL303,Kentrikos Tomeas Athinon,0.0,13800.0,0.8,7.859,38500,True,14311.0
124,ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ),4ο,EL303,Kentrikos Tomeas Athinon,0.0,13075.0,1.2,7.859,38500,True,14296.0
1563,ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΚΟΖΑΝΗ),2ο,EL531,"Grevena, Kozani",0.3333333333333333,14605.0,1.2,0.98,15900,False,14283.0
