dept_code,name,field,nuts3,region,vac_2025,base_2025,ebe_coefficient,tourism_per_capita,gdp_per_capita,is_metro,base_2019
388,ΜΗΧΑΝΙΚΩΝ ΒΙΟΪΑΤΡΙΚΗΣ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.0,13885.0,0.8,0.066,13900,True,14193.0
316,ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΠΕΙΡΑΙΑΣ),4ο,EL307,"Peiraias, Nisoi",0.0,16620.0,1.2,3.126,22300,True,14186.0
317,ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΠΑΝ. ΜΑΚΕΔ.,4ο,EL522,Thessaloniki,0.0,14460.0,1.2,3.616,16900,True,14146.0
323,ΕΠΙΣΤΗΜΗΣ ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ (ΑΘΗΝΑ),3ο,EL303,Kentrikos Tomeas Athinon,0.9347826086956522,14720.0,1.2,7.859,38500,True,14119.0
682,ΝΟΣΗΛΕΥΤΙΚΗΣ (ΑΙΓΑΛΕΩ),3ο,EL302,Dytikos Tomeas Athinon,0.581151832460733,13200.0,1.1,0.066,13900,True,14118.0
236,ΑΡΧΙΤΕΚΤΟΝΩΝ ΜΗΧΑΝΙΚΩΝ (ΒΟΛΟΣ),2ο,EL613,"Magnisia, Sporades",0.0,17105.0,1.0,16.025,15300,False,14109.0
215,ΜΗΧΑΝΙΚΩΝ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΗΣ (ΠΑΤΡΑ),2ο,EL632,Achaia,0.6989795918367347,14500.0,1.2,3.13,15400,False,14082.0
134,ΕΠΙΣΤΗΜΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΕΚΠΑΙΔΕΥΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),4ο,EL522,Thessaloniki,0.0,13875.0,0.8,3.616,16900,True,14079.0
176,"ΒΑΛΚΑΝΙΚΩΝ, ΣΛΑΒΙΚΩΝ ΚΑΙ ΑΝΑΤΟΛΙΚΩΝ ΣΠΟΥΔΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)",4ο,EL522,Thessaloniki,0.3423913043478261,12240.0,1.2,3.616,16900,True,14021.0
245,ΜΑΘΗΜΑΤΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),2ο,EL522,Thessaloniki,0.4117647058823529,14200.0,1.15,3.616,16900,True,14019.0
1274,ΛΟΓΟΘΕΡΑΠΕΙΑΣ (ΠΑΤΡΑ),3ο,EL632,Achaia,0.0,12844.0,1.0,3.13,15400,False,14016.0
